Team,Season,Offensive_WAR,Pitching_WAR,RS,RA,Pythagorean_Expectation,Run_Differential,Total_WAR,WAR_Balance,RS_per_game,RA_per_game,Expected_Wins,Offensive_Strength,Pitching_Strength
2TM,2023,12.8,27.4,172.83350000000002,455.0,0.14537045479645755,-282.1665,40.2,0.46545454545454545,1.0668734567901235,2.808641975308642,23.550013677026122,0.31840796019900497,0.6815920398009949
2TM,2024,18.1,36.3,225.83350000000002,366.0,0.2924346734936399,-140.16649999999998,54.4,0.4972527472527473,1.394033950617284,2.259259259259259,47.37441710596966,0.33272058823529416,0.6672794117647058
2TM,2025,41.6,34.8,460.8335,381.0,0.586165126858337,79.83350000000002,76.4,1.191977077363897,2.8446512345679014,2.3518518518518516,94.9587505510506,0.5445026178010471,0.4554973821989528
3TM,2023,-0.7,4.4,37.8335,685.0,0.004966358315681516,-647.1665,3.7,-0.15555555555555556,0.23354012345679012,4.228395061728395,0.8045500471404057,-0.18918918918918917,1.1891891891891893
3TM,2024,-0.9,0.20000000000000023,35.8335,727.0,0.004036312867647229,-691.1665,-0.6999999999999997,-2.9999999999999973,0.22119444444444444,4.487654320987654,0.653882684558851,-9.0,2.000000000000002
3TM,2025,0.0,-3.3000000000000003,44.8335,762.0,0.005572222992349778,-717.1665,-3.3000000000000003,-0.0,0.27675,4.703703703703703,0.902700124760664,0.0,-33.0
4TM,2024,0.0,-0.8,44.8335,737.0,0.0059209074916593005,-692.1665,-0.8,-0.0,0.27675,4.549382716049383,0.9591870136488067,0.0,-8.0
4TM,2025,0.0,-0.6000000000000001,44.8335,735.0,0.005950248850214649,-690.1665,-0.6000000000000001,-0.0,0.27675,4.537037037037037,0.9639403137347731,0.0,-6.000000000000001
5TM,2024,0.0,-0.6,44.8335,735.0,0.005950248850214649,-690.1665,-0.6,-0.0,0.27675,4.537037037037037,0.9639403137347731,0.0,-5.999999999999999
5TM,2025,0.0,0.4,44.8335,725.0,0.006100378920041135,-680.1665,0.4,0.0,0.27675,4.4753086419753085,0.9882613850466639,0.0,1.0
ARI,2023,24.5,11.4,289.8335,615.0,0.20153346093973,-325.1665,35.9,2.130434782608696,1.7890956790123458,3.7962962962962963,32.64842067223626,0.6824512534818942,0.3175487465181059
ARI,2024,33.4,7.1,378.8335,658.0,0.26690981690244153,-279.1665,40.5,4.638888888888889,2.3384783950617285,4.061728395061729,43.23939033819553,0.8246913580246913,0.17530864197530863
ARI,2025,21.3,9.3,257.8335,636.0,0.16080121452370255,-378.1665,30.6,2.2659574468085104,1.591564814814815,3.925925925925926,26.049796752839814,0.696078431372549,0.303921568627451
ATH,2025,20.7,9.0,251.83350000000002,639.0,0.15394624325713002,-387.1665,29.7,2.2747252747252746,1.554527777777778,3.9444444444444446,24.939291407655062,0.696969696969697,0.30303030303030304
ATL,2023,40.9,15.0,453.8335,579.0,0.3903748285163013,-125.16649999999998,55.9,2.7086092715231787,2.8014413580246913,3.574074074074074,63.24072221964081,0.7316636851520573,0.26833631484794274
ATL,2024,17.7,27.9,221.83350000000002,450.0,0.2151095901974306,-228.16649999999998,45.599999999999994,0.6321428571428571,1.3693425925925926,2.7777777777777777,34.847753611983755,0.38815789473684215,0.611842105263158
ATL,2025,24.8,13.6,292.8335,593.0,0.21564467879173815,-300.1665,38.4,1.81021897810219,1.8076141975308644,3.6604938271604937,34.93443796426158,0.6458333333333334,0.3541666666666667
BAL,2023,28.5,16.4,329.8335,565.0,0.2719057348914313,-235.16649999999998,44.9,1.7272727272727273,2.0360092592592594,3.4876543209876543,44.04872905241187,0.6347438752783965,0.36525612472160357
BAL,2024,31.8,11.5,362.8335,614.0,0.27634331415061575,-251.16649999999998,43.3,2.741379310344828,2.239712962962963,3.7901234567901234,44.76761689239975,0.7344110854503465,0.2655889145496536
BAL,2025,9.799999999999999,11.0,142.8335,619.0,0.06395050369823188,-476.16650000000004,20.799999999999997,0.8828828828828829,0.8816882716049382,3.8209876543209877,10.359981599113565,0.47115384615384615,0.528846153846154
BOS,2023,19.1,18.6,235.83350000000002,543.0,0.1785519080180096,-307.1665,37.7,1.0213903743315507,1.4557623456790125,3.3518518518518516,28.925409098917555,0.506631299734748,0.493368700265252
BOS,2024,29.0,15.1,334.8335,578.0,0.2691240993198322,-243.16649999999998,44.1,1.9078947368421053,2.0668734567901237,3.567901234567901,43.59810408981282,0.6575963718820862,0.3424036281179138
BOS,2025,27.6,17.4,320.8335,555.0,0.2683669471245985,-234.16649999999998,45.0,1.5771428571428572,1.9804537037037038,3.425925925925926,43.47544543418496,0.6133333333333334,0.38666666666666666
CHC,2023,29.1,10.700000000000001,335.8335,622.0,0.24455365965763304,-286.1665,39.800000000000004,2.694444444444444,2.0730462962962966,3.8395061728395063,39.61769286453655,0.7311557788944724,0.26884422110552764
CHC,2024,24.2,9.3,286.8335,636.0,0.18889244612533218,-349.1665,33.5,2.574468085106383,1.7705771604938272,3.925925925925926,30.60057627230381,0.7223880597014926,0.2776119402985075
CHC,2025,40.699999999999996,9.5,451.83349999999996,634.0,0.34980751001100524,-182.16650000000004,50.199999999999996,4.239583333333333,2.7890956790123456,3.9135802469135803,56.66881662178285,0.8107569721115537,0.18924302788844624
CHW,2023,2.5999999999999996,7.800000000000001,70.8335,651.0,0.016968791769220202,-580.1665,10.4,0.32911392405063283,0.4372438271604938,4.018518518518518,2.7489442666136727,0.24999999999999994,0.75
CHW,2024,-3.5,9.1,9.8335,638.0,0.00048264116701598987,-628.1665,5.6,-0.3804347826086957,0.060700617283950625,3.9382716049382718,0.07818786905659036,-0.625,1.625
CHW,2025,11.6,10.799999999999999,160.83350000000002,621.0,0.07782592633154421,-460.1665,22.4,1.0642201834862386,0.9927993827160495,3.8333333333333335,12.607800065710162,0.5178571428571429,0.48214285714285715
CIN,2023,16.0,17.3,204.83350000000002,556.0,0.13855013212770803,-351.1665,33.3,0.9195402298850573,1.2644043209876543,3.432098765432099,22.445121404688702,0.48048048048048053,0.5195195195195196
CIN,2024,6.5,22.3,109.8335,506.0,0.0575702690495936,-396.1665,28.8,0.2901785714285714,0.6779845679012346,3.123456790123457,9.326383586034163,0.22569444444444445,0.7743055555555556
CIN,2025,8.3,28.0,127.8335,449.0,0.09120428263653102,-321.1665,36.3,0.29537366548042704,0.7890956790123457,2.771604938271605,14.775093787118026,0.22865013774104687,0.7713498622589532
CLE,2023,14.8,13.0,192.83350000000002,599.0,0.11163132897246196,-406.1665,27.8,1.1297709923664123,1.1903302469135804,3.697530864197531,18.084275293538838,0.5323741007194245,0.4676258992805755
CLE,2024,21.9,15.700000000000001,263.8335,572.0,0.19527496469854033,-308.1665,37.6,1.3860759493670884,1.628601851851852,3.5308641975308643,31.634544281163535,0.5824468085106382,0.4175531914893617
CLE,2025,9.200000000000001,16.7,136.83350000000002,562.0,0.07008993365279577,-425.1665,25.9,0.5476190476190477,0.8446512345679014,3.4691358024691357,11.354569251752915,0.3552123552123553,0.6447876447876448
COL,2023,9.6,3.1999999999999997,140.83350000000002,697.0,0.0508566506549519,-556.1665,12.799999999999999,2.909090909090909,0.8693425925925927,4.302469135802469,8.238777406102209,0.75,0.25
COL,2024,10.5,-0.29999999999999993,149.83350000000002,732.0,0.05201294680618037,-582.1665,10.2,-52.50000000000002,0.9248981481481482,4.518518518518518,8.42609738260122,1.0294117647058825,-0.02941176470588235
COL,2025,-1.6,1.4,28.8335,715.0,0.002799076640986089,-686.1665,-0.20000000000000018,-1.0666666666666667,0.17798456790123457,4.41358024691358,0.45345041583974643,-16.0,13.999999999999998
