,Team,Season,Offensive_WAR,Pitching_WAR,Total_WAR,Expected_Wins,Pythagorean_Expectation
27,CHW,2024,-3.5,9.1,5.6,0.07818786905659036,0.00048264116701598987
37,COL,2025,-1.6,1.4,-0.20000000000000018,0.45345041583974643,0.002799076640986089
4,3TM,2024,-0.9,0.20000000000000023,-0.6999999999999997,0.653882684558851,0.004036312867647229
3,3TM,2023,-0.7,4.4,3.7,0.8045500471404057,0.004966358315681516
5,3TM,2025,0.0,-3.3000000000000003,-3.3000000000000003,0.902700124760664,0.005572222992349778
6,4TM,2024,0.0,-0.8,-0.8,0.9591870136488067,0.0059209074916593005
7,4TM,2025,0.0,-0.6000000000000001,-0.6000000000000001,0.9639403137347731,0.005950248850214649
8,5TM,2024,0.0,-0.6,-0.6,0.9639403137347731,0.005950248850214649
9,5TM,2025,0.0,0.4,0.4,0.9882613850466639,0.006100378920041135
68,OAK,2023,1.8000000000000003,6.5,8.3,2.137319733988083,0.013193331691284463
