,Team,Season,Offensive_WAR,Pitching_WAR,Total_WAR,Expected_Wins,Pythagorean_Expectation
2,2TM,2025,41.6,34.8,76.4,94.9587505510506,0.586165126858337
14,ATL,2023,40.9,15.0,55.9,63.24072221964081,0.3903748285163013
25,CHC,2025,40.699999999999996,9.5,50.199999999999996,56.66881662178285,0.34980751001100524
88,TBR,2023,34.1,14.3,48.400000000000006,51.45263610690572,0.3176088648574427
91,TEX,2023,37.0,9.1,46.1,50.64984140009431,0.3126533419758908
51,LAD,2024,38.7,5.9,44.6,50.09237907149526,0.30921221649071146
67,NYY,2025,31.099999999999998,16.9,48.0,49.19539429212305,0.30367527340816697
41,HOU,2023,32.9,13.4,46.3,48.49133223565012,0.2993292113311736
58,MIL,2025,25.7,24.4,50.099999999999994,47.9013333556117,0.2956872429358747
52,LAD,2025,33.0,12.4,45.4,47.625623361688895,0.2939853293931413
